ID	NAME	URL	PARTY	SORT_NAME
300001	Sen. Daniel Akaka (D-HI, 1990-2013)	http://www.govtrack.us/congress/members/daniel_akaka/300001	D	Akaka, Daniel (Sen.) [D-HI, 1990-2013]
300002	Sen. Lamar Alexander (R-TN)	http://www.govtrack.us/congress/members/lamar_alexander/300002	R	Alexander, Lamar (Sen.) [R-TN]
300003	Sen. Wayne Allard (R-CO, 1997-2009)	http://www.govtrack.us/congress/members/wayne_allard/300003	R	Allard, Wayne (Sen.) [R-CO, 1997-2009]
300005	Sen. Max Baucus (D-MT)	http://www.govtrack.us/congress/members/max_baucus/300005	D	Baucus, Max (Sen.) [D-MT]
300006	Sen. Evan Bayh (D-IN, 1999-2010)	http://www.govtrack.us/congress/members/evan_bayh/300006	D	Bayh, Evan (Sen.) [D-IN, 1999-2010]
300007	Sen. Robert Bennett (R-UT, 1993-2010)	http://www.govtrack.us/congress/members/robert_bennett/300007	R	Bennett, Robert (Sen.) [R-UT, 1993-2010]
300008	Vice President Joseph Biden (D)	http://www.govtrack.us/congress/members/joseph_biden/300008	D	Biden, Joseph (Vice President) [D]
300009	Sen. Jeff Bingaman (D-NM, 1983-2013)	http://www.govtrack.us/congress/members/jeff_bingaman/300009	D	Bingaman, Jeff (Sen.) [D-NM, 1983-2013]
300010	Sen. Christopher "Kit" Bond (R-MO, 1987-2010)	http://www.govtrack.us/congress/members/christopher_bond/300010	R	Bond, Christopher â€œKitâ€ (Sen.) [R-MO, 1987-2010]
300011	Sen. Barbara Boxer (D-CA)	http://www.govtrack.us/congress/members/barbara_boxer/300011	D	Boxer, Barbara (Sen.) [D-CA]
300013	Sen. Samuel "Sam" Brownback (R-KS, 1996-2010)	http://www.govtrack.us/congress/members/samuel_brownback/300013	R	Brownback, Samuel â€œSamâ€ (Sen.) [R-KS, 1996-2010]
300015	Sen. Conrad Burns (R-MT, 1989-2006)	http://www.govtrack.us/congress/members/conrad_burns/300015	R	Burns, Conrad (Sen.) [R-MT, 1989-2006]
300017	Sen. Ben Campbell (R-CO, 1993-2004)	http://www.govtrack.us/congress/members/ben_campbell/300017	R	Campbell, Ben (Sen.) [R-CO, 1993-2004]
300018	Sen. Maria Cantwell (D-WA)	http://www.govtrack.us/congress/members/maria_cantwell/300018	D	Cantwell, Maria (Sen.) [D-WA]
300019	Sen. Thomas Carper (D-DE)	http://www.govtrack.us/congress/members/thomas_carper/300019	D	Carper, Thomas (Sen.) [D-DE]
300021	Sen. Saxby Chambliss (R-GA)	http://www.govtrack.us/congress/members/saxby_chambliss/300021	R	Chambliss, Saxby (Sen.) [R-GA]
300022	Sen. Hillary Clinton (D-NY, 2001-2009)	http://www.govtrack.us/congress/members/hillary_clinton/300022	D	Clinton, Hillary (Sen.) [D-NY, 2001-2009]
300023	Sen. Thad Cochran (R-MS)	http://www.govtrack.us/congress/members/thad_cochran/300023	R	Cochran, Thad (Sen.) [R-MS]
300024	Sen. Norm Coleman (R-MN, 2003-2009)	http://www.govtrack.us/congress/members/norm_coleman/300024	R	Coleman, Norm (Sen.) [R-MN, 2003-2009]
300025	Sen. Susan Collins (R-ME)	http://www.govtrack.us/congress/members/susan_collins/300025	R	Collins, Susan (Sen.) [R-ME]
300026	Sen. Kent Conrad (D-ND, 1992-2013)	http://www.govtrack.us/congress/members/kent_conrad/300026	D	Conrad, Kent (Sen.) [D-ND, 1992-2013]
300027	Sen. John Cornyn (R-TX)	http://www.govtrack.us/congress/members/john_cornyn/300027	R	Cornyn, John (Sen.) [R-TX]
300028	Sen. Jon Corzine (D-NJ, 2001-2006)	http://www.govtrack.us/congress/members/jon_corzine/300028	D	Corzine, Jon (Sen.) [D-NJ, 2001-2006]
300029	Sen. Larry Craig (R-ID, 1991-2009)	http://www.govtrack.us/congress/members/larry_craig/300029	R	Craig, Larry (Sen.) [R-ID, 1991-2009]
300030	Sen. Michael Crapo (R-ID)	http://www.govtrack.us/congress/members/michael_crapo/300030	R	Crapo, Michael (Sen.) [R-ID]
300031	Sen. Thomas "Tom" Daschle (D-SD, 1987-2004)	http://www.govtrack.us/congress/members/thomas_daschle/300031	D	Daschle, Thomas â€œTomâ€ (Sen.) [D-SD, 1987-2004]
300032	Sen. Mark Dayton (D-MN, 2001-2006)	http://www.govtrack.us/congress/members/mark_dayton/300032	D	Dayton, Mark (Sen.) [D-MN, 2001-2006]
300033	Sen. Michael "Mike" DeWine (R-OH, 1995-2006)	http://www.govtrack.us/congress/members/michael_dewine/300033	R	DeWine, Michael â€œMikeâ€ (Sen.) [R-OH, 1995-2006]
300034	Sen. Christopher Dodd (D-CT, 1981-2010)	http://www.govtrack.us/congress/members/christopher_dodd/300034	D	Dodd, Christopher (Sen.) [D-CT, 1981-2010]
300036	Sen. Pete Domenici (R-NM, 1973-2009)	http://www.govtrack.us/congress/members/pete_domenici/300036	R	Domenici, Pete (Sen.) [R-NM, 1973-2009]
300037	Sen. Byron Dorgan (D-ND, 1992-2010)	http://www.govtrack.us/congress/members/byron_dorgan/300037	D	Dorgan, Byron (Sen.) [D-ND, 1992-2010]
300038	Sen. Richard Durbin (D-IL)	http://www.govtrack.us/congress/members/richard_durbin/300038	D	Durbin, Richard (Sen.) [D-IL]
300039	Sen. John Edwards (D-NC, 1999-2004)	http://www.govtrack.us/congress/members/john_edwards/300039	D	Edwards, John (Sen.) [D-NC, 1999-2004]
300040	Sen. John Ensign (R-NV, 2001-2011)	http://www.govtrack.us/congress/members/john_ensign/300040	R	Ensign, John (Sen.) [R-NV, 2001-2011]
300041	Sen. Michael Enzi (R-WY)	http://www.govtrack.us/congress/members/michael_enzi/300041	R	Enzi, Michael (Sen.) [R-WY]
300042	Sen. Russell Feingold (D-WI, 1993-2010)	http://www.govtrack.us/congress/members/russell_feingold/300042	D	Feingold, Russell (Sen.) [D-WI, 1993-2010]
300043	Sen. Dianne Feinstein (D-CA)	http://www.govtrack.us/congress/members/dianne_feinstein/300043	D	Feinstein, Dianne (Sen.) [D-CA]
300044	Sen. Peter Fitzgerald (R-IL, 1999-2004)	http://www.govtrack.us/congress/members/peter_fitzgerald/300044	R	Fitzgerald, Peter (Sen.) [R-IL, 1999-2004]
300045	Sen. William "Bill" Frist (R-TN, 1995-2006)	http://www.govtrack.us/congress/members/william_frist/300045	R	Frist, William â€œBillâ€ (Sen.) [R-TN, 1995-2006]
300046	Sen. Bob Graham (D-FL, 1987-2004)	http://www.govtrack.us/congress/members/bob_graham/300046	D	Graham, Bob (Sen.) [D-FL, 1987-2004]
300047	Sen. Lindsey Graham (R-SC)	http://www.govtrack.us/congress/members/lindsey_graham/300047	R	Graham, Lindsey (Sen.) [R-SC]
300048	Sen. Charles "Chuck" Grassley (R-IA)	http://www.govtrack.us/congress/members/charles_grassley/300048	R	Grassley, Charles â€œChuckâ€ (Sen.) [R-IA]
300049	Sen. Judd Gregg (R-NH, 1993-2010)	http://www.govtrack.us/congress/members/judd_gregg/300049	R	Gregg, Judd (Sen.) [R-NH, 1993-2010]
300050	Sen. Charles "Chuck" Hagel (R-NE, 1997-2009)	http://www.govtrack.us/congress/members/charles_hagel/300050	R	Hagel, Charles â€œChuckâ€ (Sen.) [R-NE, 1997-2009]
300051	Sen. Thomas "Tom" Harkin (D-IA)	http://www.govtrack.us/congress/members/thomas_harkin/300051	D	Harkin, Thomas â€œTomâ€ (Sen.) [D-IA]
300052	Sen. Orrin Hatch (R-UT)	http://www.govtrack.us/congress/members/orrin_hatch/300052	R	Hatch, Orrin (Sen.) [R-UT]
300054	Sen. Kay Hutchison (R-TX, 1993-2013)	http://www.govtrack.us/congress/members/kay_hutchison/300054	R	Hutchison, Kay (Sen.) [R-TX, 1993-2013]
300055	Sen. James "Jim" Inhofe (R-OK)	http://www.govtrack.us/congress/members/james_inhofe/300055	R	Inhofe, James â€œJimâ€ (Sen.) [R-OK]
300056	Sen. Daniel Inouye (D-HI, 1963-2012)	http://www.govtrack.us/congress/members/daniel_inouye/300056	D	Inouye, Daniel (Sen.) [D-HI, 1963-2012]
300057	Sen. James "Jim" Jeffords (I-VT, 1989-2006)	http://www.govtrack.us/congress/members/james_jeffords/300057	I	Jeffords, James â€œJimâ€ (Sen.) [I-VT, 1989-2006]
300059	Sen. Edward "Ted" Kennedy (D-MA, 1962-2009)	http://www.govtrack.us/congress/members/edward_kennedy/300059	D	Kennedy, Edward â€œTedâ€ (Sen.) [D-MA, 1962-2009]
300060	Sen. John Kerry (D-MA, 1985-2013)	http://www.govtrack.us/congress/members/john_kerry/300060	D	Kerry, John (Sen.) [D-MA, 1985-2013]
300061	Sen. Herbert "Herb" Kohl (D-WI, 1989-2013)	http://www.govtrack.us/congress/members/herbert_kohl/300061	D	Kohl, Herbert â€œHerbâ€ (Sen.) [D-WI, 1989-2013]
300062	Sen. Jon Kyl (R-AZ, 1995-2013)	http://www.govtrack.us/congress/members/jon_kyl/300062	R	Kyl, Jon (Sen.) [R-AZ, 1995-2013]
300063	Sen. Mary Landrieu (D-LA)	http://www.govtrack.us/congress/members/mary_landrieu/300063	D	Landrieu, Mary (Sen.) [D-LA]
300064	Sen. Frank Lautenberg (D-NJ, 2003-2013)	http://www.govtrack.us/congress/members/frank_lautenberg/300064	D	Lautenberg, Frank (Sen.) [D-NJ, 2003-2013]
300065	Sen. Patrick Leahy (D-VT)	http://www.govtrack.us/congress/members/patrick_leahy/300065	D	Leahy, Patrick (Sen.) [D-VT]
300066	Sen. Carl Levin (D-MI)	http://www.govtrack.us/congress/members/carl_levin/300066	D	Levin, Carl (Sen.) [D-MI]
300067	Sen. Joseph Lieberman (I-CT, 1989-2013)	http://www.govtrack.us/congress/members/joseph_lieberman/300067	I	Lieberman, Joseph (Sen.) [I-CT, 1989-2013]
300068	Sen. Blanche Lincoln (D-AR, 1999-2010)	http://www.govtrack.us/congress/members/blanche_lincoln/300068	D	Lincoln, Blanche (Sen.) [D-AR, 1999-2010]
300070	Sen. Richard Lugar (R-IN, 1977-2013)	http://www.govtrack.us/congress/members/richard_lugar/300070	R	Lugar, Richard (Sen.) [R-IN, 1977-2013]
300071	Sen. John McCain (R-AZ)	http://www.govtrack.us/congress/members/john_mccain/300071	R	McCain, John (Sen.) [R-AZ]
300072	Sen. Mitch McConnell (R-KY)	http://www.govtrack.us/congress/members/mitch_mcconnell/300072	R	McConnell, Mitch (Sen.) [R-KY]
300073	Sen. Barbara Mikulski (D-MD)	http://www.govtrack.us/congress/members/barbara_mikulski/300073	D	Mikulski, Barbara (Sen.) [D-MD]
300075	Sen. Lisa Murkowski (R-AK)	http://www.govtrack.us/congress/members/lisa_murkowski/300075	R	Murkowski, Lisa (Sen.) [R-AK]
300076	Sen. Patty Murray (D-WA)	http://www.govtrack.us/congress/members/patty_murray/300076	D	Murray, Patty (Sen.) [D-WA]
300077	Sen. Ben Nelson (D-NE, 2001-2013)	http://www.govtrack.us/congress/members/ben_nelson/300077	D	Nelson, Ben (Sen.) [D-NE, 2001-2013]
300078	Sen. Bill Nelson (D-FL)	http://www.govtrack.us/congress/members/bill_nelson/300078	D	Nelson, Bill (Sen.) [D-FL]
300079	Sen. Don Nickles (R-OK, 1981-2004)	http://www.govtrack.us/congress/members/don_nickles/300079	R	Nickles, Don (Sen.) [R-OK, 1981-2004]
300080	Sen. Mark Pryor (D-AR)	http://www.govtrack.us/congress/members/mark_pryor/300080	D	Pryor, Mark (Sen.) [D-AR]
300081	Sen. John "Jack" Reed (D-RI)	http://www.govtrack.us/congress/members/john_reed/300081	D	Reed, John â€œJackâ€ (Sen.) [D-RI]
300082	Sen. Harry Reid (D-NV)	http://www.govtrack.us/congress/members/harry_reid/300082	D	Reid, Harry (Sen.) [D-NV]
300083	Sen. Pat Roberts (R-KS)	http://www.govtrack.us/congress/members/pat_roberts/300083	R	Roberts, Pat (Sen.) [R-KS]
300084	Sen. John "Jay" Rockefeller (D-WV)	http://www.govtrack.us/congress/members/john_rockefeller/300084	D	Rockefeller, John â€œJayâ€ (Sen.) [D-WV]
300085	Sen. Richard "Rick" Santorum (R-PA, 1995-2006)	http://www.govtrack.us/congress/members/richard_santorum/300085	R	Santorum, Richard â€œRickâ€ (Sen.) [R-PA, 1995-2006]
300086	Sen. Paul Sarbanes (D-MD, 1977-2006)	http://www.govtrack.us/congress/members/paul_sarbanes/300086	D	Sarbanes, Paul (Sen.) [D-MD, 1977-2006]
300087	Sen. Charles Schumer (D-NY)	http://www.govtrack.us/congress/members/charles_schumer/300087	D	Schumer, Charles (Sen.) [D-NY]
300088	Sen. Jefferson "Jeff" Sessions (R-AL)	http://www.govtrack.us/congress/members/jefferson_sessions/300088	R	Sessions, Jefferson â€œJeffâ€ (Sen.) [R-AL]
300089	Sen. Richard Shelby (R-AL)	http://www.govtrack.us/congress/members/richard_shelby/300089	R	Shelby, Richard (Sen.) [R-AL]
300090	Sen. Gordon Smith (R-OR, 1997-2009)	http://www.govtrack.us/congress/members/gordon_smith/300090	R	Smith, Gordon (Sen.) [R-OR, 1997-2009]
300091	Sen. Olympia Snowe (R-ME, 1995-2013)	http://www.govtrack.us/congress/members/olympia_snowe/300091	R	Snowe, Olympia (Sen.) [R-ME, 1995-2013]
300092	Sen. Arlen Specter (D-PA, 1981-2010)	http://www.govtrack.us/congress/members/arlen_specter/300092	D	Specter, Arlen (Sen.) [D-PA, 1981-2010]
300093	Sen. Debbie Stabenow (D-MI)	http://www.govtrack.us/congress/members/debbie_stabenow/300093	D	Stabenow, Debbie (Sen.) [D-MI]
300094	Sen. Ted Stevens (R-AK, 1968-2009)	http://www.govtrack.us/congress/members/ted_stevens/300094	R	Stevens, Ted (Sen.) [R-AK, 1968-2009]
300096	Sen. James "Jim" Talent (R-MO, 2002-2006)	http://www.govtrack.us/congress/members/james_talent/300096	R	Talent, James â€œJimâ€ (Sen.) [R-MO, 2002-2006]
300097	Sen. Craig Thomas (R-WY, 1995-2007)	http://www.govtrack.us/congress/members/craig_thomas/300097	R	Thomas, Craig (Sen.) [R-WY, 1995-2007]
300098	Sen. George Voinovich (R-OH, 1999-2010)	http://www.govtrack.us/congress/members/george_voinovich/300098	R	Voinovich, George (Sen.) [R-OH, 1999-2010]
300099	Sen. John Warner (R-VA, 1979-2009)	http://www.govtrack.us/congress/members/john_warner/300099	R	Warner, John (Sen.) [R-VA, 1979-2009]
300100	Sen. Ron Wyden (D-OR)	http://www.govtrack.us/congress/members/ron_wyden/300100	D	Wyden, Ron (Sen.) [D-OR]
300151	Sen. Tim Hutchinson (R-AR, 1997-2002)	http://www.govtrack.us/congress/members/tim_hutchinson/300151	R	Hutchinson, Tim (Sen.) [R-AR, 1997-2002]
300152	Sen. Maxwell Cleland (D-GA, 1997-2002)	http://www.govtrack.us/congress/members/maxwell_cleland/300152	D	Cleland, Maxwell (Sen.) [D-GA, 1997-2002]
300155	Sen. Bob Smith (R-NH, 1990-2002)	http://www.govtrack.us/congress/members/bob_smith/300155	R	Smith, Bob (Sen.) [R-NH, 1990-2002]
300156	Sen. Robert Torricelli (D-NJ, 1997-2002)	http://www.govtrack.us/congress/members/robert_torricelli/300156	D	Torricelli, Robert (Sen.) [D-NJ, 1997-2002]
400003	Rep. Gary Ackerman (D-NY5, 1993-2013)	http://www.govtrack.us/congress/members/gary_ackerman/400003	D	Ackerman, Gary (Rep.) [D-NY5, 1993-2013]
